Session ID,Timestamp,Item ID,Price,Quantity
420374,2014-04-06T18:44:58.314Z,214537888,12462,1
420374,2014-04-06T18:44:58.325Z,214537850,10471,1
281626,2014-04-06T09:40:13.032Z,214535653,1883,1
420368,2014-04-04T06:13:28.848Z,214530572,6073,1
420368,2014-04-04T06:13:28.858Z,214835025,2617,1
140806,2014-04-07T09:22:28.132Z,214668193,523,1
140806,2014-04-07T09:22:28.176Z,214587399,1046,1
140806,2014-04-07T09:22:28.219Z,214586690,837,1
140806,2014-04-07T09:22:28.268Z,214774667,1151,1
140806,2014-04-07T09:22:28.280Z,214578823,1046,1
11,2014-04-03T11:04:11.417Z,214821371,1046,1
11,2014-04-03T11:04:18.097Z,214821371,1046,1
12,2014-04-02T10:42:17.227Z,214717867,1778,4
489758,2014-04-06T09:59:52.422Z,214826955,1360,2
489758,2014-04-06T09:59:52.476Z,214826715,732,2
489758,2014-04-06T09:59:52.578Z,214827026,1046,1
140802,2014-04-02T16:52:21.678Z,214716984,1883,1
489756,2014-04-05T16:51:59.947Z,214716932,6177,1
420378,2014-04-03T07:41:02.566Z,214821017,1046,1
420378,2014-04-03T07:41:02.616Z,214821020,732,1
420378,2014-04-03T07:41:02.668Z,214821013,1883,1
281609,2014-04-07T09:25:02.934Z,214821290,1046,4
281609,2014-04-07T09:25:06.927Z,214821290,1046,4
21,2014-04-07T09:24:18.307Z,214548744,3141,1
21,2014-04-07T09:24:18.360Z,214838503,18745,1
140826,2014-04-04T06:36:00.009Z,214636775,8375,1
70427,2014-04-02T15:54:07.144Z,214820255,3769,1
33,2014-04-06T18:24:51.206Z,214834865,523,2
33,2014-04-06T18:24:51.207Z,214706441,1360,1
33,2014-04-06T18:24:51.207Z,214820225,2092,1
33,2014-04-06T18:24:51.295Z,214834865,523,2
33,2014-04-06T18:24:51.422Z,214820225,2092,1
33,2014-04-06T18:24:51.426Z,214706441,1360,1
140837,2014-04-06T18:00:50.137Z,214821339,523,2
140837,2014-04-06T18:00:50.155Z,214586711,1570,1
140837,2014-04-06T18:00:53.023Z,214821339,523,2
140837,2014-04-06T18:00:53.024Z,214586711,1570,1
46,2014-04-03T07:09:22.737Z,214716932,7328,2
46,2014-04-03T07:09:22.751Z,214716932,4188,1
352044,2014-04-03T17:46:41.919Z,214821285,2092,2
352044,2014-04-03T17:46:41.950Z,214821277,1046,4
352044,2014-04-03T17:46:41.963Z,214826608,313,1
420388,2014-04-02T11:35:29.008Z,214711635,4188,1
140851,2014-04-06T16:26:15.966Z,214573612,4711,1
281636,2014-04-01T21:59:12.162Z,214695097,5235,1
281636,2014-04-01T21:59:12.221Z,214695092,14556,1
140874,2014-04-02T17:06:27.196Z,214716930,5759,1
70464,2014-04-03T10:26:07.632Z,214820231,1046,1
70464,2014-04-03T10:26:07.753Z,214840417,1570,1
210248,2014-04-05T15:43:14.945Z,214839313,4188,1
352082,2014-04-04T11:33:13.228Z,214687642,1570,1
140866,2014-04-04T11:11:37.729Z,214585395,4188,1
281686,2014-04-04T10:31:53.316Z,214821013,1883,1
281686,2014-04-04T10:31:54.156Z,214547668,4188,1
87,2014-04-07T06:57:22.557Z,214652220,1465,1
87,2014-04-07T06:57:22.621Z,214840483,1674,1
87,2014-04-07T06:57:22.679Z,214743369,1046,1
87,2014-04-07T06:57:22.736Z,214826837,627,1
87,2014-04-07T06:57:22.749Z,214820392,627,1
87,2014-04-07T06:57:22.801Z,214826908,837,1
87,2014-04-07T06:57:22.803Z,214819430,470,1
489792,2014-04-02T11:03:03.854Z,214826810,1046,1
420423,2014-04-02T20:55:07.029Z,214821390,941,1
489807,2014-04-01T07:42:09.535Z,214586651,4083,1
420426,2014-04-03T18:20:25.293Z,214717005,2931,1
352071,2014-04-07T10:34:07.855Z,214695097,8375,1
103,2014-04-03T14:26:27.706Z,214748293,3350,1
489847,2014-04-01T16:06:29.623Z,214652932,1778,1
489846,2014-04-04T12:52:51.559Z,214718396,1046,2
420464,2014-04-07T14:07:39.844Z,214582942,5235,1
420471,2014-04-04T11:40:13.625Z,214717888,2092,1
420471,2014-04-04T11:40:13.681Z,214821024,1570,1
420471,2014-04-04T11:40:13.739Z,214829282,837,1
420471,2014-04-04T11:40:13.787Z,214819547,418,1
420471,2014-04-04T11:40:13.853Z,214746382,784,1
420471,2014-04-04T11:51:13.708Z,214821024,1570,1
420471,2014-04-04T11:51:13.709Z,214717888,2092,1
420471,2014-04-04T11:51:13.725Z,214819547,418,1
420471,2014-04-04T11:51:13.731Z,214829282,837,1
420471,2014-04-04T11:51:13.748Z,214573357,784,1
489843,2014-04-07T10:13:17.186Z,214821277,1046,2
489843,2014-04-07T10:13:17.272Z,214821285,2092,2
489843,2014-04-07T10:13:17.554Z,214839313,4188,1
70503,2014-04-03T18:35:25.561Z,214531513,2617,1
281719,2014-04-04T17:04:56.685Z,214716973,2408,2
420473,2014-04-06T18:31:11.201Z,214827007,837,1
420473,2014-04-06T18:31:11.208Z,214827005,627,1
420473,2014-04-06T18:31:11.218Z,214827000,418,1
140921,2014-04-01T18:57:09.021Z,214684093,1046,1
420449,2014-04-01T10:25:01.826Z,214539845,26075,1
420459,2014-04-07T17:53:29.372Z,214837490,523,1
420459,2014-04-07T17:53:29.372Z,214837485,627,1
420459,2014-04-07T17:53:29.377Z,214837483,523,1
420459,2014-04-07T17:53:29.383Z,214709634,837,1
420459,2014-04-07T17:53:29.459Z,214829737,1360,1
140913,2014-04-05T07:40:40.651Z,214714880,10471,1
420457,2014-04-01T09:58:16.652Z,214705991,7328,1
281698,2014-04-01T18:47:30.910Z,214820261,4188,1
281698,2014-04-01T18:47:30.960Z,214820233,1465,1
352103,2014-04-03T10:10:10.392Z,214821307,198,3
352103,2014-04-03T10:10:10.641Z,214748295,2303,1
420508,2014-04-07T15:37:26.815Z,214684093,1046,1
420508,2014-04-07T15:37:26.896Z,214648245,1570,1
420508,2014-04-07T15:37:26.950Z,214819762,627,1
281744,2014-04-03T07:11:27.782Z,214716932,4188,1
138,2014-04-04T09:59:42.860Z,214594592,4711,1
281747,2014-04-06T10:32:23.948Z,214826801,523,2
281747,2014-04-06T10:32:23.984Z,214826801,523,1
281747,2014-04-06T10:32:24.000Z,214571904,3141,1
281747,2014-04-06T10:32:24.020Z,214826608,313,1
281747,2014-04-06T10:32:24.036Z,214716673,7852,1
352159,2014-04-06T18:12:38.631Z,214820413,1570,4
352159,2014-04-06T18:12:38.638Z,214821292,627,2
352159,2014-04-06T18:12:38.653Z,214821277,1046,2
70532,2014-04-06T09:59:03.143Z,214536506,1674,2
420497,2014-04-06T10:41:32.284Z,214711078,1046,3
420497,2014-04-06T10:41:32.311Z,214826627,523,2
420497,2014-04-06T10:41:32.319Z,214826955,1360,3
70529,2014-04-03T11:07:51.984Z,214716984,2617,2
210326,2014-04-03T18:33:19.363Z,214613865,4711,1
352129,2014-04-07T14:47:06.473Z,214839313,4188,1
352129,2014-04-07T14:47:06.804Z,214839313,4188,1
489858,2014-04-02T13:03:55.777Z,214555903,1360,1
281739,2014-04-04T21:50:28.277Z,214708305,3141,1
281738,2014-04-03T19:17:59.977Z,214717888,2092,1
281738,2014-04-03T19:18:00.047Z,214826953,1570,1
281738,2014-04-03T19:18:00.105Z,214819760,627,1
281738,2014-04-03T19:18:00.148Z,214602806,2617,1
210337,2014-04-01T19:23:24.231Z,214676537,32358,1
420543,2014-04-04T07:10:43.388Z,214600502,26075,1
210336,2014-04-02T16:24:25.970Z,214701240,15080,1
210336,2014-04-02T16:24:26.019Z,214820400,418,1
210336,2014-04-02T16:24:26.073Z,214753513,784,1
210336,2014-04-02T16:24:26.131Z,214554277,1046,1
140964,2014-04-04T07:02:02.655Z,214697996,2408,1
210344,2014-04-03T17:02:23.016Z,214832653,2408,2
210344,2014-04-03T17:02:23.078Z,214612706,6282,1
140973,2014-04-02T20:24:15.190Z,214664767,15603,1
70561,2014-04-03T08:03:24.909Z,214716937,1988,2
281789,2014-04-04T18:43:07.127Z,214717003,2617,2
281789,2014-04-04T18:43:07.292Z,214717005,2408,1
489901,2014-04-04T12:45:28.497Z,214840483,1674,1
140977,2014-04-05T18:30:05.840Z,214826606,941,1
140977,2014-04-05T18:30:05.853Z,214832653,3141,1
140977,2014-04-05T18:30:05.867Z,214826835,1674,2
140977,2014-04-05T18:30:05.874Z,214826627,523,1
140977,2014-04-05T18:30:05.892Z,214826715,732,1
140977,2014-04-05T18:30:05.911Z,214716982,3036,1
189,2014-04-04T07:23:10.719Z,214613865,4711,1
489891,2014-04-04T12:23:41.079Z,214826955,1360,2
489891,2014-04-04T12:23:41.125Z,214826627,523,2
489891,2014-04-04T12:23:41.190Z,214821285,2092,1
489891,2014-04-04T12:23:41.232Z,214826803,4188,1
489891,2014-04-04T12:23:41.268Z,214687685,1256,1
70583,2014-04-02T11:18:32.858Z,214821277,1046,6
70583,2014-04-02T11:18:33.924Z,214821277,1046,6
182,2014-04-04T15:02:14.204Z,214535621,5235,2
182,2014-04-04T15:02:30.627Z,214535621,5235,2
181,2014-04-05T11:05:54.507Z,214820231,1046,2
352209,2014-04-05T19:37:47.979Z,214594678,8900,1
281809,2014-04-01T20:10:16.350Z,214821296,3141,2
281809,2014-04-01T20:10:16.355Z,214832557,2092,1
140998,2014-04-03T14:36:48.055Z,214826750,5235,1
197,2014-04-05T18:19:05.047Z,214774685,2826,1
352222,2014-04-01T15:47:33.273Z,214718182,575,3
352222,2014-04-01T15:47:33.444Z,214690847,837,1
352222,2014-04-01T15:47:33.614Z,214554714,313,1
141004,2014-04-06T19:43:03.202Z,214685795,1046,1
141004,2014-04-06T19:43:03.274Z,214820201,3141,1
141004,2014-04-06T19:43:03.372Z,214825839,1570,1
141004,2014-04-06T19:43:03.416Z,214574754,732,1
141007,2014-04-01T17:36:22.260Z,214821390,941,1
141007,2014-04-01T17:36:22.277Z,214575667,523,1
420553,2014-04-06T09:16:24.520Z,214826955,1360,2
420553,2014-04-06T09:16:24.523Z,214826897,5235,1
420553,2014-04-06T09:16:24.540Z,214820237,523,1
420553,2014-04-06T09:16:24.549Z,214709685,941,1
