Session ID,Timestamp,Item ID,Price,Quantity
420374,2014-04-06T18:44:58.314Z,214537888,12462,1
420374,2014-04-06T18:44:58.325Z,214537850,10471,1
281626,2014-04-06T09:40:13.032Z,214535653,1883,1
420368,2014-04-04T06:13:28.848Z,214530572,6073,1
420368,2014-04-04T06:13:28.858Z,214835025,2617,1
140806,2014-04-07T09:22:28.132Z,214668193,523,1
140806,2014-04-07T09:22:28.176Z,214587399,1046,1
140806,2014-04-07T09:22:28.219Z,214586690,837,1
140806,2014-04-07T09:22:28.268Z,214774667,1151,1
140806,2014-04-07T09:22:28.280Z,214578823,1046,1
11,2014-04-03T11:04:11.417Z,214821371,1046,1
11,2014-04-03T11:04:18.097Z,214821371,1046,1
